Özel - Cinsellik ve Mahremiyet
==============================
- dudaktan optu | Kelime / ifade | Risk 4 | Aktif
- din düşmanlığı | Kelime / ifade | Risk 5 | Aktif
- din düşmanlığı anlatımı | Kelime / ifade | Risk 5 | Aktif
- din düşmanlığı ifadesi | Kelime / ifade | Risk 5 | Aktif
- din düşmanlığı sahnesi | Kelime / ifade | Risk 5 | Aktif
- engelliyle alay | Kelime / ifade | Risk 5 | Aktif
- engelliyle alay anlatımı | Kelime / ifade | Risk 5 | Aktif
- engelliyle alay ifadesi | Kelime / ifade | Risk 5 | Aktif
- engelliyle alay sahnesi | Kelime / ifade | Risk 5 | Aktif
- erkek işi | Kelime / ifade | Risk 5 | Aktif
- erkek işi anlatımı | Kelime / ifade | Risk 5 | Aktif
- erkek işi ifadesi | Kelime / ifade | Risk 5 | Aktif
- erkek işi sahnesi | Kelime / ifade | Risk 5 | Aktif
- fakir çocuk | Kelime / ifade | Risk 5 | Aktif
- fakir çocuk anlatımı | Kelime / ifade | Risk 5 | Aktif
- fakir çocuk ifadesi | Kelime / ifade | Risk 5 | Aktif
- fakir çocuk sahnesi | Kelime / ifade | Risk 5 | Aktif
- hakaret içeren kimlik | Kelime / ifade | Risk 5 | Aktif
- hakaret içeren kimlik ifadesi | Kelime / ifade | Risk 5 | Aktif
- hakaret içeren kimlik sahnesi | Kelime / ifade | Risk 5 | Aktif
- ırkçı | Kelime / ifade | Risk 5 | Aktif
- ırkçı anlatımı | Kelime / ifade | Risk 5 | Aktif
- ırkçı göndermesi | Kelime / ifade | Risk 5 | Aktif
- ırkçı ifadesi | Kelime / ifade | Risk 5 | Aktif
- ırkçı sahnesi | Kelime / ifade | Risk 5 | Aktif
- ırkçılık | Kelime / ifade | Risk 5 | Aktif
- ırkçılık anlatımı | Kelime / ifade | Risk 5 | Aktif
- ırkçılık ifadesi | Kelime / ifade | Risk 5 | Aktif
- ırkçılık sahnesi | Kelime / ifade | Risk 5 | Aktif
- kısa boylu | Kelime / ifade | Risk 5 | Aktif
- kısa boylu anlatımı | Kelime / ifade | Risk 5 | Aktif
- kısa boylu ifadesi | Kelime / ifade | Risk 5 | Aktif
- kısa boylu sahnesi | Kelime / ifade | Risk 5 | Aktif
- kızlar yapamaz | Kelime / ifade | Risk 5 | Aktif
- kızlar yapamaz anlatımı | Kelime / ifade | Risk 5 | Aktif
- kızlar yapamaz ifadesi | Kelime / ifade | Risk 5 | Aktif
- kızlar yapamaz sahnesi | Kelime / ifade | Risk 5 | Aktif
- köylü hakareti | Kelime / ifade | Risk 5 | Aktif
- köylü hakareti ifadesi | Kelime / ifade | Risk 5 | Aktif
- köylü hakareti sahnesi | Kelime / ifade | Risk 5 | Aktif
- mezhepçilik | Kelime / ifade | Risk 5 | Aktif
- mezhepçilik anlatımı | Kelime / ifade | Risk 5 | Aktif
- mezhepçilik ifadesi | Kelime / ifade | Risk 5 | Aktif
- mezhepçilik sahnesi | Kelime / ifade | Risk 5 | Aktif
- nefret | Kelime / ifade | Risk 5 | Aktif
- nefret anlatımı | Kelime / ifade | Risk 5 | Aktif
- nefret göndermesi | Kelime / ifade | Risk 5 | Aktif
- nefret ifadesi | Kelime / ifade | Risk 5 | Aktif
- nefret sahnesi | Kelime / ifade | Risk 5 | Aktif
- ötekileştirme | Kelime / ifade | Risk 5 | Aktif
- ötekileştirme anlatımı | Kelime / ifade | Risk 5 | Aktif
- ötekileştirme ifadesi | Kelime / ifade | Risk 5 | Aktif
- ötekileştirme sahnesi | Kelime / ifade | Risk 5 | Aktif
- sosyal sınıf aşağılama | Kelime / ifade | Risk 5 | Aktif
- sosyal sınıf aşağılama ifadesi | Kelime / ifade | Risk 5 | Aktif
- sosyal sınıf aşağılama sahnesi | Kelime / ifade | Risk 5 | Aktif
- şişman | Kelime / ifade | Risk 5 | Aktif
- şişman anlatımı | Kelime / ifade | Risk 5 | Aktif
- şişman ifadesi | Kelime / ifade | Risk 5 | Aktif
- şişman sahnesi | Kelime / ifade | Risk 5 | Aktif
- yabancı düşmanlığı | Kelime / ifade | Risk 5 | Aktif
- yabancı düşmanlığı ifadesi | Kelime / ifade | Risk 5 | Aktif
- yabancı düşmanlığı sahnesi | Kelime / ifade | Risk 5 | Aktif
- yoksulla alay | Kelime / ifade | Risk 5 | Aktif
- yoksulla alay ifadesi | Kelime / ifade | Risk 5 | Aktif
- yoksulla alay sahnesi | Kelime / ifade | Risk 5 | Aktif

Sistem - Cinsellik ve Mahremiyet
================================
- aile | Kelime / ifade | Risk 4 | Aktif
- aile bütünlüğü | Kelime / ifade | Risk 4 | Aktif
- aileden | Kelime / ifade | Risk 4 | Aktif
- ailesinden | Kelime / ifade | Risk 4 | Aktif
- anne | Kelime / ifade | Risk 4 | Aktif
- ayıba | Kelime / ifade | Risk 4 | Aktif
- ayıbı | Kelime / ifade | Risk 4 | Aktif
- ayıbla | Kelime / ifade | Risk 4 | Aktif
- ayıp | Kelime / ifade | Risk 4 | Aktif
- ayıp | Kelime / ifade | Risk 4 | Aktif
- ayıp ifadesi | Kelime / ifade | Risk 4 | Aktif
- ayıp sahnesi | Kelime / ifade | Risk 4 | Aktif
- ayıplar | Kelime / ifade | Risk 4 | Aktif
- ayrı yaşama | Kelime / ifade | Risk 4 | Aktif
- baba | Kelime / ifade | Risk 4 | Aktif
- birbirlerini seviyordu | Kelime / ifade | Risk 4 | Aktif
- birbirlerini seviyorlardı | Kelime / ifade | Risk 4 | Aktif
- boşandı | Kelime / ifade | Risk 4 | Aktif
- boşanma | Kelime / ifade | Risk 4 | Aktif
- boşanmış | Kelime / ifade | Risk 4 | Aktif
- cinsel | Kelime / ifade | Risk 4 | Aktif
- cinsel | Kelime / ifade | Risk 4 | Aktif
- cinsel anlatımı | Kelime / ifade | Risk 4 | Aktif
- cinsel davranışı | Kelime / ifade | Risk 4 | Aktif
- cinsel göndermesi | Kelime / ifade | Risk 4 | Aktif
- cinsel ifadesi | Kelime / ifade | Risk 4 | Aktif
- cinsel ilişki | Kelime / ifade | Risk 4 | Aktif
- cinsel sahnesi | Kelime / ifade | Risk 4 | Aktif
- cinsel vurgusu | Kelime / ifade | Risk 4 | Aktif
- cinselllik | Kelime / ifade | Risk 4 | Aktif
- çıplağı | Kelime / ifade | Risk 4 | Aktif
- çıplağın | Kelime / ifade | Risk 4 | Aktif
- çıplak | Kelime / ifade | Risk 4 | Aktif
- çıplak | Kelime / ifade | Risk 4 | Aktif
- çıplak anlatımı | Kelime / ifade | Risk 4 | Aktif
- çıplak davranışı | Kelime / ifade | Risk 4 | Aktif
- çıplak göndermesi | Kelime / ifade | Risk 4 | Aktif
- çıplak ifadesi | Kelime / ifade | Risk 4 | Aktif
- çıplak sahnesi | Kelime / ifade | Risk 4 | Aktif
- çıplak vurgusu | Kelime / ifade | Risk 4 | Aktif
- çıplakça | Kelime / ifade | Risk 4 | Aktif
- dudaktan öptü | Kelime / ifade | Risk 4 | Aktif
- dudaktan öpüşme | Kelime / ifade | Risk 4 | Aktif
- erotik | Kelime / ifade | Risk 4 | Aktif
- erotik | Kelime / ifade | Risk 4 | Aktif
- erotik anlatımı | Kelime / ifade | Risk 4 | Aktif
- erotik davranışı | Kelime / ifade | Risk 4 | Aktif
- erotik göndermesi | Kelime / ifade | Risk 4 | Aktif
- erotik ifadesi | Kelime / ifade | Risk 4 | Aktif
- erotik sahnesi | Kelime / ifade | Risk 4 | Aktif
- erotik vurgusu | Kelime / ifade | Risk 4 | Aktif
- erotiklik | Kelime / ifade | Risk 4 | Aktif
- eş | Kelime / ifade | Risk 4 | Aktif
- evlenmek | Kelime / ifade | Risk 4 | Aktif
- evlilik | Kelime / ifade | Risk 4 | Aktif
- evlilik dışı ilişki | Kelime / ifade | Risk 4 | Aktif
- fahişe | Kelime / ifade | Risk 4 | Aktif
- fahişelik | Kelime / ifade | Risk 4 | Aktif
- fiziksel yakınlaşma | Kelime / ifade | Risk 4 | Aktif
- flört | Kelime / ifade | Risk 4 | Aktif
- flört etmek | Kelime / ifade | Risk 4 | Aktif
- fuhuş | Kelime / ifade | Risk 4 | Aktif
- ırz | Kelime / ifade | Risk 4 | Aktif
- ırz | Kelime / ifade | Risk 4 | Aktif
- ırz ifadesi | Kelime / ifade | Risk 4 | Aktif
- ırz sahnesi | Kelime / ifade | Risk 4 | Aktif
- ırza | Kelime / ifade | Risk 4 | Aktif
- ırzdan | Kelime / ifade | Risk 4 | Aktif
- ırzına | Kelime / ifade | Risk 4 | Aktif
- ırzını | Kelime / ifade | Risk 4 | Aktif
- karı | Kelime / ifade | Risk 4 | Aktif
- koca | Kelime / ifade | Risk 4 | Aktif
- licik | Kelime / ifade | Risk 4 | Aktif
- liciklik | Kelime / ifade | Risk 4 | Aktif
- mahrem | Kelime / ifade | Risk 4 | Aktif
- mahrem | Kelime / ifade | Risk 4 | Aktif
- mahrem anlatımı | Kelime / ifade | Risk 4 | Aktif
- mahrem davranışı | Kelime / ifade | Risk 4 | Aktif
- mahrem göndermesi | Kelime / ifade | Risk 4 | Aktif
- mahrem ifadesi | Kelime / ifade | Risk 4 | Aktif
- mahrem sahnesi | Kelime / ifade | Risk 4 | Aktif
- mahrem vurgusu | Kelime / ifade | Risk 4 | Aktif
- mahrem yakınlaşma | Kelime / ifade | Risk 4 | Aktif
- mahremiyeti | Kelime / ifade | Risk 4 | Aktif
- mahremiyetin | Kelime / ifade | Risk 4 | Aktif
- müstehcen | Kelime / ifade | Risk 4 | Aktif
- müstehcen | Kelime / ifade | Risk 4 | Aktif
- müstehcen anlatımı | Kelime / ifade | Risk 4 | Aktif
- müstehcen davranışı | Kelime / ifade | Risk 4 | Aktif
- müstehcen göndermesi | Kelime / ifade | Risk 4 | Aktif
- müstehcen ifadesi | Kelime / ifade | Risk 4 | Aktif
- müstehcen sahnesi | Kelime / ifade | Risk 4 | Aktif
- müstehcen vurgusu | Kelime / ifade | Risk 4 | Aktif
- müstehcenlik | Kelime / ifade | Risk 4 | Aktif
- namus | Kelime / ifade | Risk 4 | Aktif
- namus | Kelime / ifade | Risk 4 | Aktif
- namus ifadesi | Kelime / ifade | Risk 4 | Aktif
- namus sahnesi | Kelime / ifade | Risk 4 | Aktif
- namustan | Kelime / ifade | Risk 4 | Aktif
- namusu | Kelime / ifade | Risk 4 | Aktif
- namusunu | Kelime / ifade | Risk 4 | Aktif
- namusunun | Kelime / ifade | Risk 4 | Aktif
- nişanlı | Kelime / ifade | Risk 4 | Aktif
- öpücük | Kelime / ifade | Risk 4 | Aktif
- öpüşme | Kelime / ifade | Risk 4 | Aktif
- öpüşme anlatımı | Kelime / ifade | Risk 4 | Aktif
- öpüşme davranışı | Kelime / ifade | Risk 4 | Aktif
- öpüşme göndermesi | Kelime / ifade | Risk 4 | Aktif
- öpüşme ifadesi | Kelime / ifade | Risk 4 | Aktif
- öpüşme sahnesi | Kelime / ifade | Risk 4 | Aktif
- öpüşme vurgusu | Kelime / ifade | Risk 4 | Aktif
- öpüşmek | Kelime / ifade | Risk 4 | Aktif
- öpüşmek | Kelime / ifade | Risk 4 | Aktif
- öpüşmesi | Kelime / ifade | Risk 4 | Aktif
- öpüştü | Kelime / ifade | Risk 4 | Aktif
- romantik ilişki | Kelime / ifade | Risk 4 | Aktif
- sapık | Kelime / ifade | Risk 4 | Aktif
- sapıklık | Kelime / ifade | Risk 4 | Aktif
- sarılıp yatmak | Kelime / ifade | Risk 4 | Aktif
- sevgili | Kelime / ifade | Risk 4 | Aktif
- taciz | Kelime / ifade | Risk 4 | Aktif
- taciz | Kelime / ifade | Risk 4 | Aktif
- taciz anlatımı | Kelime / ifade | Risk 4 | Aktif
- taciz davranışı | Kelime / ifade | Risk 4 | Aktif
- taciz etme | Kelime / ifade | Risk 4 | Aktif
- taciz göndermesi | Kelime / ifade | Risk 4 | Aktif
- taciz ifadesi | Kelime / ifade | Risk 4 | Aktif
- taciz sahnesi | Kelime / ifade | Risk 4 | Aktif
- taciz vurgusu | Kelime / ifade | Risk 4 | Aktif
- tacizci | Kelime / ifade | Risk 4 | Aktif
- tecavüz | Kelime / ifade | Risk 4 | Aktif
- tecavüz | Kelime / ifade | Risk 4 | Aktif
- tecavüz anlatımı | Kelime / ifade | Risk 4 | Aktif
- tecavüz davranışı | Kelime / ifade | Risk 4 | Aktif
- tecavüz etme | Kelime / ifade | Risk 4 | Aktif
- tecavüz göndermesi | Kelime / ifade | Risk 4 | Aktif
- tecavüz ifadesi | Kelime / ifade | Risk 4 | Aktif
- tecavüz sahnesi | Kelime / ifade | Risk 4 | Aktif
- tecavüz vurgusu | Kelime / ifade | Risk 4 | Aktif
- tecavüzü | Kelime / ifade | Risk 4 | Aktif
- utanca | Kelime / ifade | Risk 4 | Aktif
- utancı | Kelime / ifade | Risk 4 | Aktif
- utanç | Kelime / ifade | Risk 4 | Aktif
- utanç ifadesi | Kelime / ifade | Risk 4 | Aktif
- utanç sahnesi | Kelime / ifade | Risk 4 | Aktif
- utançtan | Kelime / ifade | Risk 4 | Aktif
- uygunsuz | Kelime / ifade | Risk 4 | Aktif
- yoğun romantik temas | Kelime / ifade | Risk 4 | Aktif

Sistem - Dijital Risk ve Hukuk
==============================
- challenge | Kelime / ifade | Risk 4 | Aktif
- challenge anlatımı | Kelime / ifade | Risk 4 | Aktif
- challenge ifadesi | Kelime / ifade | Risk 4 | Aktif
- challenge sahnesi | Kelime / ifade | Risk 4 | Aktif
- çocuk güvenliği riski | Kelime / ifade | Risk 4 | Aktif
- çocuk güvenliği riski ifadesi | Kelime / ifade | Risk 4 | Aktif
- çocuk güvenliği riski sahnesi | Kelime / ifade | Risk 4 | Aktif
- dolandırıcılık | Kelime / ifade | Risk 4 | Aktif
- dolandırıcılık anlatımı | Kelime / ifade | Risk 4 | Aktif
- dolandırıcılık ifadesi | Kelime / ifade | Risk 4 | Aktif
- dolandırıcılık sahnesi | Kelime / ifade | Risk 4 | Aktif
- gizli fotoğraf | Kelime / ifade | Risk 4 | Aktif
- gizli fotoğraf anlatımı | Kelime / ifade | Risk 4 | Aktif
- gizli fotoğraf ifadesi | Kelime / ifade | Risk 4 | Aktif
- gizli fotoğraf sahnesi | Kelime / ifade | Risk 4 | Aktif
- hacklemek | Kelime / ifade | Risk 4 | Aktif
- hacklemek anlatımı | Kelime / ifade | Risk 4 | Aktif
- hacklemek ifadesi | Kelime / ifade | Risk 4 | Aktif
- hacklemek sahnesi | Kelime / ifade | Risk 4 | Aktif
- izinsiz paylaşım | Kelime / ifade | Risk 4 | Aktif
- izinsiz paylaşım anlatımı | Kelime / ifade | Risk 4 | Aktif
- izinsiz paylaşım ifadesi | Kelime / ifade | Risk 4 | Aktif
- izinsiz paylaşım sahnesi | Kelime / ifade | Risk 4 | Aktif
- karanlık web | Kelime / ifade | Risk 4 | Aktif
- karanlık web anlatımı | Kelime / ifade | Risk 4 | Aktif
- karanlık web ifadesi | Kelime / ifade | Risk 4 | Aktif
- karanlık web sahnesi | Kelime / ifade | Risk 4 | Aktif
- kimlik çalmak | Kelime / ifade | Risk 4 | Aktif
- kimlik çalmak anlatımı | Kelime / ifade | Risk 4 | Aktif
- kimlik çalmak ifadesi | Kelime / ifade | Risk 4 | Aktif
- kimlik çalmak sahnesi | Kelime / ifade | Risk 4 | Aktif
- kişisel veri | Kelime / ifade | Risk 4 | Aktif
- kişisel veri anlatımı | Kelime / ifade | Risk 4 | Aktif
- kişisel veri ifadesi | Kelime / ifade | Risk 4 | Aktif
- kişisel veri sahnesi | Kelime / ifade | Risk 4 | Aktif
- konum paylaşımı | Kelime / ifade | Risk 4 | Aktif
- konum paylaşımı ifadesi | Kelime / ifade | Risk 4 | Aktif
- konum paylaşımı sahnesi | Kelime / ifade | Risk 4 | Aktif
- korsan indirme | Kelime / ifade | Risk 4 | Aktif
- korsan indirme anlatımı | Kelime / ifade | Risk 4 | Aktif
- korsan indirme ifadesi | Kelime / ifade | Risk 4 | Aktif
- korsan indirme sahnesi | Kelime / ifade | Risk 4 | Aktif
- online taciz | Kelime / ifade | Risk 4 | Aktif
- online taciz anlatımı | Kelime / ifade | Risk 4 | Aktif
- online taciz ifadesi | Kelime / ifade | Risk 4 | Aktif
- online taciz sahnesi | Kelime / ifade | Risk 4 | Aktif
- özel bilgileri yaymak | Kelime / ifade | Risk 4 | Aktif
- özel bilgileri yaymak ifadesi | Kelime / ifade | Risk 4 | Aktif
- özel bilgileri yaymak sahnesi | Kelime / ifade | Risk 4 | Aktif
- sahte hesap | Kelime / ifade | Risk 4 | Aktif
- sahte hesap anlatımı | Kelime / ifade | Risk 4 | Aktif
- sahte hesap ifadesi | Kelime / ifade | Risk 4 | Aktif
- sahte hesap sahnesi | Kelime / ifade | Risk 4 | Aktif
- siber zorbalık | Kelime / ifade | Risk 4 | Aktif
- siber zorbalık anlatımı | Kelime / ifade | Risk 4 | Aktif
- siber zorbalık ifadesi | Kelime / ifade | Risk 4 | Aktif
- siber zorbalık sahnesi | Kelime / ifade | Risk 4 | Aktif
- şifre çalmak | Kelime / ifade | Risk 4 | Aktif
- şifre çalmak anlatımı | Kelime / ifade | Risk 4 | Aktif
- şifre çalmak ifadesi | Kelime / ifade | Risk 4 | Aktif
- şifre çalmak sahnesi | Kelime / ifade | Risk 4 | Aktif
- tehdit mesajı | Kelime / ifade | Risk 4 | Aktif
- tehdit mesajı anlatımı | Kelime / ifade | Risk 4 | Aktif
- tehdit mesajı ifadesi | Kelime / ifade | Risk 4 | Aktif
- tehdit mesajı sahnesi | Kelime / ifade | Risk 4 | Aktif
- tehlikeli meydan okama ifadesi | Kelime / ifade | Risk 4 | Aktif
- tehlikeli meydan okama sahnesi | Kelime / ifade | Risk 4 | Aktif
- tehlikeli meydan okuma | Kelime / ifade | Risk 4 | Aktif
- uygunsuz mesajlaşma | Kelime / ifade | Risk 4 | Aktif
- uygunsuz mesajlaşma ifadesi | Kelime / ifade | Risk 4 | Aktif
- uygunsuz mesajlaşma sahnesi | Kelime / ifade | Risk 4 | Aktif
- yasa dışı site | Kelime / ifade | Risk 4 | Aktif
- yasa dışı site anlatımı | Kelime / ifade | Risk 4 | Aktif
- yasa dışı site ifadesi | Kelime / ifade | Risk 4 | Aktif
- yasa dışı site sahnesi | Kelime / ifade | Risk 4 | Aktif

Sistem - Kaba Dil ve Hakaret
============================
- ahmak | Kelime / ifade | Risk 3 | Aktif
- ahmak anlatımı | Kelime / ifade | Risk 3 | Aktif
- ahmak çağrışımı | Kelime / ifade | Risk 3 | Aktif
- ahmak davranışı | Kelime / ifade | Risk 3 | Aktif
- ahmak göndermesi | Kelime / ifade | Risk 3 | Aktif
- ahmak ifadesi | Kelime / ifade | Risk 3 | Aktif
- ahmak konuşması | Kelime / ifade | Risk 3 | Aktif
- ahmak sahnesi | Kelime / ifade | Risk 3 | Aktif
- ahmak tasviri | Kelime / ifade | Risk 3 | Aktif
- ahmak vurgusu | Kelime / ifade | Risk 3 | Aktif
- alay | Kelime / ifade | Risk 3 | Aktif
- alay anlatımı | Kelime / ifade | Risk 3 | Aktif
- alay ifadesi | Kelime / ifade | Risk 3 | Aktif
- alay sahnesi | Kelime / ifade | Risk 3 | Aktif
- alçak | Kelime / ifade | Risk 3 | Aktif
- alçak anlatımı | Kelime / ifade | Risk 3 | Aktif
- alçak ifadesi | Kelime / ifade | Risk 3 | Aktif
- alçak sahnesi | Kelime / ifade | Risk 3 | Aktif
- aptal | Kelime / ifade | Risk 3 | Aktif
- aptal anlatımı | Kelime / ifade | Risk 3 | Aktif
- aptal çağrışımı | Kelime / ifade | Risk 3 | Aktif
- aptal davranışı | Kelime / ifade | Risk 3 | Aktif
- aptal göndermesi | Kelime / ifade | Risk 3 | Aktif
- aptal ifadesi | Kelime / ifade | Risk 3 | Aktif
- aptal konuşması | Kelime / ifade | Risk 3 | Aktif
- aptal sahnesi | Kelime / ifade | Risk 3 | Aktif
- aptal tasviri | Kelime / ifade | Risk 3 | Aktif
- aptal vurgusu | Kelime / ifade | Risk 3 | Aktif
- argo | Kelime / ifade | Risk 3 | Aktif
- argo anlatımı | Kelime / ifade | Risk 3 | Aktif
- argo ifadesi | Kelime / ifade | Risk 3 | Aktif
- argo sahnesi | Kelime / ifade | Risk 3 | Aktif
- aşağılama | Kelime / ifade | Risk 3 | Aktif
- aşağılama anlatımı | Kelime / ifade | Risk 3 | Aktif
- aşağılama ifadesi | Kelime / ifade | Risk 3 | Aktif
- aşağılama sahnesi | Kelime / ifade | Risk 3 | Aktif
- budala | Kelime / ifade | Risk 3 | Aktif
- budala anlatımı | Kelime / ifade | Risk 3 | Aktif
- budala göndermesi | Kelime / ifade | Risk 3 | Aktif
- budala ifadesi | Kelime / ifade | Risk 3 | Aktif
- budala sahnesi | Kelime / ifade | Risk 3 | Aktif
- defol | Kelime / ifade | Risk 3 | Aktif
- defol anlatımı | Kelime / ifade | Risk 3 | Aktif
- defol ifadesi | Kelime / ifade | Risk 3 | Aktif
- defol sahnesi | Kelime / ifade | Risk 3 | Aktif
- dışlama | Kelime / ifade | Risk 3 | Aktif
- dışlama anlatımı | Kelime / ifade | Risk 3 | Aktif
- dışlama ifadesi | Kelime / ifade | Risk 3 | Aktif
- dışlama sahnesi | Kelime / ifade | Risk 3 | Aktif
- enayi | Kelime / ifade | Risk 3 | Aktif
- enayi anlatımı | Kelime / ifade | Risk 3 | Aktif
- enayi göndermesi | Kelime / ifade | Risk 3 | Aktif
- enayi ifadesi | Kelime / ifade | Risk 3 | Aktif
- enayi sahnesi | Kelime / ifade | Risk 3 | Aktif
- eşek | Kelime / ifade | Risk 3 | Aktif
- eşek anlatımı | Kelime / ifade | Risk 3 | Aktif
- eşek göndermesi | Kelime / ifade | Risk 3 | Aktif
- eşek ifadesi | Kelime / ifade | Risk 3 | Aktif
- eşek sahnesi | Kelime / ifade | Risk 3 | Aktif
- geri zekâlı | Kelime / ifade | Risk 3 | Aktif
- geri zekâlı anlatımı | Kelime / ifade | Risk 3 | Aktif
- geri zekâlı ifadesi | Kelime / ifade | Risk 3 | Aktif
- geri zekâlı sahnesi | Kelime / ifade | Risk 3 | Aktif
- gerizekâlı | Kelime / ifade | Risk 3 | Aktif
- gerizekâlı anlatımı | Kelime / ifade | Risk 3 | Aktif
- gerizekâlı ifadesi | Kelime / ifade | Risk 3 | Aktif
- gerizekâlı sahnesi | Kelime / ifade | Risk 3 | Aktif
- hakaret | Kelime / ifade | Risk 3 | Aktif
- hakaret anlatımı | Kelime / ifade | Risk 3 | Aktif
- hakaret ifadesi | Kelime / ifade | Risk 3 | Aktif
- hakaret sahnesi | Kelime / ifade | Risk 3 | Aktif
- haysiyetsiz | Kelime / ifade | Risk 3 | Aktif
- haysiyetsiz anlatımı | Kelime / ifade | Risk 3 | Aktif
- haysiyetsiz ifadesi | Kelime / ifade | Risk 3 | Aktif
- haysiyetsiz sahnesi | Kelime / ifade | Risk 3 | Aktif
- kaba hitap | Kelime / ifade | Risk 3 | Aktif
- kaba hitap anlatımı | Kelime / ifade | Risk 3 | Aktif
- kaba hitap ifadesi | Kelime / ifade | Risk 3 | Aktif
- kaba hitap sahnesi | Kelime / ifade | Risk 3 | Aktif
- kahrol | Kelime / ifade | Risk 3 | Aktif
- kahrol anlatımı | Kelime / ifade | Risk 3 | Aktif
- kahrol ifadesi | Kelime / ifade | Risk 3 | Aktif
- kahrol sahnesi | Kelime / ifade | Risk 3 | Aktif
- küçümseme | Kelime / ifade | Risk 3 | Aktif
- küçümseme anlatımı | Kelime / ifade | Risk 3 | Aktif
- küçümseme ifadesi | Kelime / ifade | Risk 3 | Aktif
- küçümseme sahnesi | Kelime / ifade | Risk 3 | Aktif
- küfür | Kelime / ifade | Risk 3 | Aktif
- küfür anlatımı | Kelime / ifade | Risk 3 | Aktif
- küfür ifadesi | Kelime / ifade | Risk 3 | Aktif
- küfür sahnesi | Kelime / ifade | Risk 3 | Aktif
- lakap takma | Kelime / ifade | Risk 3 | Aktif
- lakap takma anlatımı | Kelime / ifade | Risk 3 | Aktif
- lakap takma ifadesi | Kelime / ifade | Risk 3 | Aktif
- lakap takma sahnesi | Kelime / ifade | Risk 3 | Aktif
- lan | Kelime / ifade | Risk 3 | Aktif
- lan anlatımı | Kelime / ifade | Risk 3 | Aktif
- lan göndermesi | Kelime / ifade | Risk 3 | Aktif
- lan ifadesi | Kelime / ifade | Risk 3 | Aktif
- lan sahnesi | Kelime / ifade | Risk 3 | Aktif
- namussuz | Kelime / ifade | Risk 3 | Aktif
- namussuz anlatımı | Kelime / ifade | Risk 3 | Aktif
- namussuz ifadesi | Kelime / ifade | Risk 3 | Aktif
- namussuz sahnesi | Kelime / ifade | Risk 3 | Aktif
- pislik | Kelime / ifade | Risk 3 | Aktif
- pislik anlatımı | Kelime / ifade | Risk 3 | Aktif
- pislik ifadesi | Kelime / ifade | Risk 3 | Aktif
- pislik sahnesi | Kelime / ifade | Risk 3 | Aktif
- rezil | Kelime / ifade | Risk 3 | Aktif
- rezil anlatımı | Kelime / ifade | Risk 3 | Aktif
- rezil ifadesi | Kelime / ifade | Risk 3 | Aktif
- rezil sahnesi | Kelime / ifade | Risk 3 | Aktif
